Ano Declarado = 2019
Coluna;;Admitidos/Desligados
Município;Grau Instrução;Admitidos;Desligados;Total
;Até 5ª Incompleto;215;299;514
;5ª Completo Fundamental;111;164;275
;6ª a 9ª Fundamental;433;525;958
;Fundamental Completo;1048;1103;2151
;Médio Incompleto;1192;1188;2380
;Médio Completo;13570;12454;26024
;Superior Incompleto;507;471;978
;Superior Completo;1232;1140;2372
Sp-Cruzeiro;Total;7624;6861;14485
;Analfabeto;2;3;5
;Até 5ª Incompleto;31;38;69
;5ª Completo Fundamental;56;48;104
;6ª a 9ª Fundamental;83;104;187
;Fundamental Completo;244;392;636
;Médio Incompleto;369;394;763
;Médio Completo;5631;4810;10441
;Superior Incompleto;318;297;615
;Superior Completo;890;775;1665
Sp-Guaratingueta;Total;19247;18402;37649
;Analfabeto;22;24;46
;Até 5ª Incompleto;454;412;866
;5ª Completo Fundamental;269;288;557
;6ª a 9ª Fundamental;562;610;1172
;Fundamental Completo;1445;1963;3408
;Médio Incompleto;1566;1417;2983
;Médio Completo;11695;10708;22403
;Superior Incompleto;502;458;960
;Superior Completo;2732;2522;5254
Sp-Jacarei;Total;31331;30630;61961
;Analfabeto;43;35;78
;Até 5ª Incompleto;246;273;519
;5ª Completo Fundamental;176;228;404
;6ª a 9ª Fundamental;915;1012;1927
;Fundamental Completo;1617;1818;3435
;Médio Incompleto;1873;1880;3753
;Médio Completo;21420;20533;41953
;Superior Incompleto;1127;1085;2212
;Superior Completo;3914;3766;7680
Sp-Lorena;Total;10100;9504;19604
;Analfabeto;17;16;33
;Até 5ª Incompleto;123;103;226
;5ª Completo Fundamental;83;100;183
;6ª a 9ª Fundamental;213;259;472
;Fundamental Completo;517;564;1081
;Médio Incompleto;499;519;1018
;Médio Completo;6792;6301;13093
;Superior Incompleto;322;294;616
;Superior Completo;1534;1348;2882
Sp-Natividade da Serra;Total;174;192;366
;Analfabeto;1;2;3
;Até 5ª Incompleto;8;16;24
;5ª Completo Fundamental;11;15;26
;6ª a 9ª Fundamental;7;6;13
;Fundamental Completo;25;33;58
;Médio Incompleto;6;9;15
;Médio Completo;113;106;219
;Superior Incompleto;2;0;2
;Superior Completo;1;5;6
Sp-Pindamonhangaba;Total;19978;18519;38497
;Analfabeto;25;15;40
;Até 5ª Incompleto;194;215;409
;5ª Completo Fundamental;149;190;339
;6ª a 9ª Fundamental;549;515;1064
;Fundamental Completo;1210;1139;2349
;Médio Incompleto;1005;1032;2037
;Médio Completo;13611;12622;26233
;Superior Incompleto;702;622;1324
;Superior Completo;2533;2169;4702
Sp-Santa Branca;Total;1676;1553;3229
;Analfabeto;7;6;13
;Até 5ª Incompleto;33;26;59
;5ª Completo Fundamental;17;28;45
;6ª a 9ª Fundamental;59;55;114
;Fundamental Completo;101;120;221
;Médio Incompleto;95;89;184
;Médio Completo;1136;1041;2177
;Superior Incompleto;45;35;80
;Superior Completo;183;153;336
Sp-Santo Antonio do Pinhal;Total;580;554;1134
;Até 5ª Incompleto;3;4;7
;5ª Completo Fundamental;3;5;8
;6ª a 9ª Fundamental;7;10;17
;Fundamental Completo;29;31;60
;Médio Incompleto;47;58;105
;Médio Completo;443;412;855
;Superior Incompleto;17;12;29
;Superior Completo;31;22;53
Sp-Sao Jose dos Campos;Total;130330;130498;260828
;Analfabeto;232;184;416
;Até 5ª Incompleto;1157;1173;2330
;5ª Completo Fundamental;764;863;1627
;6ª a 9ª Fundamental;2427;2661;5088
;Fundamental Completo;6502;7347;13849
;Médio Incompleto;7222;7571;14793
;Médio Completo;87523;86578;174101
;Superior Incompleto;6284;6098;12382
;Superior Completo;18219;18023;36242
Sp-Sao Luis do Paraitinga;Total;991;1149;2140
;Analfabeto;7;5;12
;Até 5ª Incompleto;59;51;110
;5ª Completo Fundamental;35;54;89
;6ª a 9ª Fundamental;43;37;80
;Fundamental Completo;61;82;143
;Médio Incompleto;73;71;144
;Médio Completo;579;645;1224
;Superior Incompleto;34;67;101
;Superior Completo;100;137;237
Sp-Taubate;Total;55830;55289;111119
;Analfabeto;72;51;123
;Até 5ª Incompleto;576;545;1121
;5ª Completo Fundamental;598;609;1207
;6ª a 9ª Fundamental;2204;1949;4153
;Fundamental Completo;4622;5343;9965
;Médio Incompleto;3451;3390;6841
;Médio Completo;35507;34394;69901
;Superior Incompleto;2356;2053;4409
;Superior Completo;6444;6955;13399
Total;Total;306889;301373;608262
;Analfabeto;470;379;849
;Até 5ª Incompleto;3343;3413;6756
;5ª Completo Fundamental;2436;2792;5228
;6ª a 9ª Fundamental;7946;8165;16111
;Fundamental Completo;18908;21368;40276
;Médio Incompleto;18219;18405;36624
;Médio Completo;204242;196937;401179
;Superior Incompleto;12457;11739;24196
;Superior Completo;38868;38175;77043

Seleções vigentes
Variável;Critério;Valor
Competência Declarada;igual a;Dez/2019
;;Nov/2019
;;Out/2019
;;Set/2019
;;Ago/2019
;;Jul/2019
;;Jun/2019
;;Mai/2019
;;Abr/2019
;;Mar/2019
;;Fev/2019
;;Jan/2019
;;Dez/2018
;;Nov/2018
;;Out/2018
;;Set/2018
;;Ago/2018
;;Jul/2018
;;Jun/2018
;;Mai/2018
;;Abr/2018
;;Mar/2018
;;Fev/2018
;;Jan/2018
Município;igual a;Sp-Sao Jose dos Campos
;;Sp-Taubate
;;Sp-Jacarei
;;Sp-Caraguatatuba
;;Sp-Pindamonhangaba
;;Sp-Lorena
;;Sp-Bananal
;;Sp-Cruzeiro
;;Sp-Guaratingueta
;;Sp-Aparecida
;;Sp-Cachoeira Paulista
;;Sp-Santa Branca
;;Sp-Sao Luis do Paraitinga
;;Sp-Santo Antonio do Pinhal
;;Sp-Natividade da Serra
